+========================+=====================+===============================================================================================================================================================================================================+
| Launch Setup Clock     | Launch Hold Clock   | Pin                                                                                                                                                                                                           |
+========================+=====================+===============================================================================================================================================================================================================+
| dphy_hs_clock_clk_p    | dphy_hs_clock_clk_p | design_1_i/MIPI_D_PHY_RX_0/U0/DataLaneGen[0].DPHY_LaneSFEN_X/HSDeserializerX/Deserializer/DDLY                                                                                                                |
| dphy_hs_clock_clk_p    | dphy_hs_clock_clk_p | design_1_i/MIPI_D_PHY_RX_0/U0/DataLaneGen[1].DPHY_LaneSFEN_X/HSDeserializerX/Deserializer/DDLY                                                                                                                |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/fifo_overflow_from_coupler_pulse_reg/D                                                                                                                                       |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/fifo_overflow_from_coupler_cnt_reg[0]/R                                                                                                                                      |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/fifo_overflow_from_coupler_cnt_reg[4]/R                                                                                                                                      |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/fifo_overflow_from_coupler_cnt_reg[3]/R                                                                                                                                      |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/fifo_overflow_from_coupler_cnt_reg[2]/R                                                                                                                                      |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/fifo_overflow_from_coupler_cnt_reg[1]/R                                                                                                                                      |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/COUPLER_INST/generate_async_fifo.FIFO_INST/XPM_FIFO_ASYNC_INST/gnuram_async_fifo.xpm_fifo_base_inst/gen_pf_ic_rc.gen_full_rst_val.ram_full_i_reg/D                           |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/fifo_overflow_from_coupler_cnt_reg[11]/R                                                                                                                                     |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/fifo_overflow_from_coupler_cnt_reg[7]/R                                                                                                                                      |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/fifo_overflow_from_coupler_cnt_reg[9]/R                                                                                                                                      |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/fifo_overflow_from_coupler_cnt_reg[5]/R                                                                                                                                      |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/fifo_overflow_from_coupler_cnt_reg[10]/R                                                                                                                                     |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/FORMATTER_INST/vtd_locked_reg/D                                                                                                                                              |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/fifo_overflow_from_coupler_cnt_reg[8]/R                                                                                                                                      |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/fifo_overflow_from_coupler_cnt_reg[6]/R                                                                                                                                      |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/COUPLER_INST/generate_async_fifo.FIFO_INST/XPM_FIFO_ASYNC_INST/gnuram_async_fifo.xpm_fifo_base_inst/xpm_fifo_rst_inst/gen_rst_ic.wr_rst_busy_ic_reg/D                        |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/COUPLER_INST/generate_async_fifo.FIFO_INST/XPM_FIFO_ASYNC_INST/gnuram_async_fifo.xpm_fifo_base_inst/xpm_fifo_rst_inst/FSM_onehot_gen_rst_ic.curr_wrst_state_reg[0]/D         |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/COUPLER_INST/generate_async_fifo.FIFO_INST/XPM_FIFO_ASYNC_INST/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/ENARDEN |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/FORMATTER_INST/eol_reg/R                                                                                                                                                     |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/FORMATTER_INST/sof_reg/R                                                                                                                                                     |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/FORMATTER_INST/data_1_reg[20]/R                                                                                                                                              |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/FORMATTER_INST/data_1_reg[22]/R                                                                                                                                              |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/FORMATTER_INST/data_3_reg[3]/R                                                                                                                                               |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/COUPLER_INST/generate_async_fifo.FIFO_INST/XPM_FIFO_ASYNC_INST/gnuram_async_fifo.xpm_fifo_base_inst/xpm_fifo_rst_inst/FSM_onehot_gen_rst_ic.curr_wrst_state_reg[2]/D         |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/COUPLER_INST/generate_async_fifo.FIFO_INST/XPM_FIFO_ASYNC_INST/gnuram_async_fifo.xpm_fifo_base_inst/gof.overflow_i_reg/D                                                     |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/COUPLER_INST/generate_async_fifo.FIFO_INST/XPM_FIFO_ASYNC_INST/gnuram_async_fifo.xpm_fifo_base_inst/xpm_fifo_rst_inst/FSM_onehot_gen_rst_ic.curr_wrst_state_reg[3]/D         |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/COUPLER_INST/generate_async_fifo.FIFO_INST/XPM_FIFO_ASYNC_INST/gnuram_async_fifo.xpm_fifo_base_inst/xpm_fifo_rst_inst/FSM_onehot_gen_rst_ic.curr_wrst_state_reg[4]/D         |
| clk_fpga_0             | clk_fpga_0          | design_1_i/v_vid_in_axi4s_0/inst/COUPLER_INST/generate_async_fifo.FIFO_INST/XPM_FIFO_ASYNC_INST/gnuram_async_fifo.xpm_fifo_base_inst/xpm_fifo_rst_inst/FSM_onehot_gen_rst_ic.curr_wrst_state_reg[1]/D         |
